intro.started,intro.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,participant,date,expName,psychopyVersion,OS,frameRate,timing_info.started,timing_info.stopped,button_7.numClicks,button_7.timesOn,button_7.timesOff,hand_positions.started,hand_positions.stopped,space_bar.keys,space_bar.rt,space_bar.duration,train_keys.started,train_keys.stopped,key_resp.keys,key_resp.rt,key_resp.duration,score.started,score.stopped,training_rounds,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,test_instruct.started,test_instruct.stopped,instruct_cont.started,instruct_cont.stopped,point_instruct.started,point_instruct.stopped,accident_instruct.started,accident_instruct.stopped,advance.started,advance.stopped,flip_video.started,flip_video.stopped,trial_type,buffer.started,buffer.stopped,collision.started,collision.stopped,selection,stimuli_path,select_resp.keys,resp_trial,responsibility.started,responsibility.stopped,conf_2.response,button.numClicks,button.timesOn,button.timesOff,conf_one,conf_two,conf_three,conf_3.response,conf_1.response,forfeit.started,forfeit.stopped,forfeit_button.numClicks,forfeit_button.timesOn,forfeit_button.timesOff,keep_button.numClicks,keep_button.timesOn,keep_button.timesOff,accuracy.started,accuracy.stopped,rt_diff,acc_points,keep_round,practice_round,begin_review.started,begin_review.stopped,space_bar_6.keys,space_bar_6.rt,space_bar_6.duration,review_keys.started,review_keys.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,review_trials,baseline_rts,review.thisRepN,review.thisTrialN,review.thisN,review.thisIndex,review.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,select_resp.rt,select_resp.duration,transition.started,transition.stopped,calibrate_instruct.started,calibrate_instruct.stopped,flip_calibration.started,flip_calibration.stopped,calibrate.started,calibrate.stopped,prediction.started,prediction.stopped,miss.numClicks,miss.timesOn,miss.timesOff,hit.numClicks,hit.timesOn,hit.timesOff,calibration_pred,calibration_actual,calibration_score,cal_feedback.started,cal_feedback.stopped,space_bar_12.keys,space_bar_12.rt,space_bar_12.duration,calibration.thisRepN,calibration.thisTrialN,calibration.thisN,calibration.thisIndex,calibration.ran
,,,,,5b211cda68a5ed000173e9c0,2026-02-02_14h30.24.972,causal,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.1158,267.3453,267.3454,267.3454,catch,276.497,276.4971,268.8463,272.4114,miss,stimuli/collisions/miss/stim6.mp4,space,TRUE,272.4137,272.4169,,0,[],[],red,green,blue,,,272.4184,273.9283,0,[],[],1,[273.9342999999523],[273.9342999999523],273.9285,276.4957,0.8051,85,TRUE,FALSE,276.4958,276.496,,,,276.4973,276.4976,,,,,,0,0,0,0,1,,,,,,3.1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5b211cda68a5ed000173e9c0,2026-02-02_14h30.24.972,causal,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5b211cda68a5ed000173e9c0,2026-02-02_14h30.24.972,causal,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.4978,277.2947,277.2949,277.2949,test,295.6122,295.6122,278.7961,282.729,red,stimuli/collisions/hit/stim5.mp4,j,TRUE,282.7309,291.8953,0,1,[1.8500999999046144],[1.8500999999046144],red,green,blue,0,100,291.8963,292.8785,0,[],[],1,[292.8844000000954],[292.8844000000954],292.8788,295.6117,0.3728,110,TRUE,FALSE,295.6117,295.6118,,,,295.6122,295.6124,,,,,,0,0,0,0,1,,,,,,3.5672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5b211cda68a5ed000173e9c0,2026-02-02_14h30.24.972,causal,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5b211cda68a5ed000173e9c0,2026-02-02_14h30.24.972,causal,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.6125,296.8956,296.8958,296.8958,catch,326.6461,327.6614,298.4132,302.4115,miss,stimuli/collisions/miss/stim1.mp4,space,TRUE,302.4139,302.4178,,0,[],[],red,green,blue,,,302.4194,303.6449,0,[],[],1,[303.651],[303.651],303.6451,306.5782,0.3533,130,TRUE,TRUE,306.5783,308.6135,"[""space""]",[0.017499999999984084],[null],327.6616,328.5785,k,0.5759,,9,"[1,0.63,0.59,0.68,0.53,0.62,0.48,0.54,0.64,0.58]",9,0,9,0,1,,,,,,3.6467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5b211cda68a5ed000173e9c0,2026-02-02_14h30.24.972,causal,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5b211cda68a5ed000173e9c0,2026-02-02_14h30.24.972,causal,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.5793,329.2286,329.2287,329.2288,catch,338.9308,338.9309,330.7477,334.1121,miss,stimuli/collisions/miss/stim4.mp4,space,TRUE,334.1158,334.1208,,0,[],[],red,green,blue,,,334.1229,335.4781,0,[],[],1,[335.48420000004774],[335.48420000004774],335.4783,338.9296,0.9929,155,TRUE,FALSE,338.9297,338.9298,,,,338.9309,338.9315,,,,,,0,0,0,0,1,,,,,,3.0071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5b211cda68a5ed000173e9c0,2026-02-02_14h30.24.972,causal,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5b211cda68a5ed000173e9c0,2026-02-02_14h30.24.972,causal,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.9316,341.5777,341.5778,341.5778,test,357.6447,357.6448,343.0791,345.478,green,stimuli/collisions/hit/stim3.mp4,k,TRUE,345.4804,354.1619,100,1,[1.4002000000476755],[1.4002000000476755],red,green,blue,0,0,354.1633,355.0115,0,[],[],1,[355.0174000000954],[355.0174000000954],355.0118,357.6443,1.2999,185,TRUE,FALSE,357.6443,357.6443,,,,357.6449,357.6451,,,,,,0,0,0,0,1,,,,,,2.0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5b211cda68a5ed000173e9c0,2026-02-02_14h30.24.972,causal,2025.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
